a,(4|Ꮞ|𝟒|𝟜|𝟦|𝟰|𝟺|🄅|⒋|ᔰ|4️⃣|\*|\@|\&|a|a̲|q|ª|à|á|â|ã|ä|å|æ|ā|ā̀|ă|ą|ą́|ą̃|ǎ|ǟ|ǡ|ǻ|ȁ|ȃ|ȧ|ɐ|ɑ|ʌ|ʌ̦|ά|α|δ|λ|а|л̡|л̦|ӆ|ӕ|ᐃ|ᗅ|ᗩ|ᗝ|ᴀ|ᴧ|ᶏ|ᶐ|ᶛ|ḁ|ẚ|ạ|ả|ấ|ầ|ẩ|ẫ|ậ|ắ|ằ|ẳ|ẵ|ặ|₳|∀|∆|∧|⋀|⍺|⒜|ⓐ|ⱥ|ⲁ|ⲇ|ⵠ|ꋫ|ꓮ|ꜳ|ꜵ|ꜷ|ꜹ|ꜻ|ꜽ|ꭺ|ꭿ|ﺔ ‎|ａ|𐌀|𝐀|𝐚|𝐴|𝑎|𝑨|𝒂|𝒜|𝒶|𝓐|𝓪|𝔄|𝔞|𝔸|𝕒|𝕬|𝖆|𝖠|𝖺|𝗔|𝗮|𝘈|𝘢|𝘼|𝙖|𝙰|𝚊|𝚨|𝚫|𝛂|𝛢|𝛥|𝛼|𝜜|𝜟|𝜶|𝝖|𝝙|𝝰|𝞐|𝞓|𝞪|🄐|🄰|ᓇ|ᓇ|ᓋ|ᓈ|ᓈ|ᓍ|Ⓐ|🇦|🅐|🅰️|⏏|⏏️|🔏|🔐|🔒|🔓)
b,(b|β|ⲃ|в|ʙ|𐌁|ᛒ|𐌱|ɓ|🄑|⒝|ƀ|ḃ|ß|ϐ|𝛃|𝛽|𝜷|𝝱|𝞫|ɞ|þ|ƿ|ϸ|ƅ|ᵷ|ь|🄇|⒍|ъ|ｂ|b̄|ƃ|ҍ|ѣ|б|b̔|ᖯ|ꮟ|𝐛|𝑏|𝒃|𝒷|𝓫|𝔟|𝕓|𝖇|𝖻|𝗯|𝘣|𝙗|𝚋|ᗷ|ᏼ|ꓐ|ℬ|𝐁|𝐵|𝑩|𝓑|𝔅|ᙖ|𝔹|𝕭|𝖡|𝗕|𝘉|𝘽|𝙱|𝚩|𝛣|𝜝|𝝗|𝞑|6|ⳓ|𝟔|𝟞|𝟨|𝟲|𝟼|ḅ|ḇ|ᵬ|ᶀ|ꞗ|ᴃ|ᴯ|␢|฿|₿|♭|ᑾ|ᒀ|Ⓑ|🇧|🅑|🅱️)
c,(c|c̈|c̦|〔|❲|¢|©️|ç|ć|ĉ|ċ|č|ƈ|ȼ|ɕ|ʗ|ϲ|с|с̡|ҫ|ௐ|ς|𝛓|𝜍|𝝇|𝞁|𝞻|ᑕ|ᑡ|ᑣ|ᙅ|ᴄ|ᶜ|ᶝ|ḉ|₠|₡|₢|₵|ℂ|℃|ℭ|ⅽ|↪️|⊂|⒞|ⓒ|☾|ⲥ|ⴀ|ⴚ|ꏸ|ꓚ|ꞓ|ꞔ|ꮯ|ꮸ|ｃ|￠|𝐂|𝐜|𝐶|𝑐|𝑪|𝒄|𝒞|𝒸|𝓒|𝓬|𝔠|𝕔|𝕮|𝖈|𝖢|𝖼|𝗖|𝗰|𝘊|𝘤|𝘾|𝙘|𝙲|𝚌|🄒|🄲|㈂|ᄃ|匚|⼕|匸|⼖|Ⓒ|🇨|🅒|🅲)
d,((?:d|d̢|ð|ď|đ|đ̱|ƌ|ǆ|ǳ|ȡ|ɖ|ɗ|ʣ|ʤ|ʥ|δ|ԁ|მ|შ|ძ|ᑯ|ᑻ|ᒇ|ǝ|ᗞ|ᗪ|ᗫ|ᚦ|ᚧ|ᴅ|ᴰ|ᵈ|ᵭ|ᶁ|ᶑ|ḋ|ḍ|ḏ|ḑ|ḓ|₫|ⅅ|ⅆ|ⅾ|ↁ|∂|⒟|ⓓ|ꁕ|ꓒ|ꓓ|ꭰ|𐌃|𝐃|𝐝|𝐷|𝑑|𝑫|𝒅|𝒟|𝒹|𝓓|𝓭|𝔇|𝔡|𝔻|𝕕|𝕯|𝖉|𝖣|𝖽|𝗗|𝗱|𝘋|𝘥|𝘿|𝙙|𝙳|𝚍|∂|𝛛|𝜕|𝝏|𝞉|𝟃|🄓|🄳|🆔|Ⓓ|🇩|🅓|🅳)|(?:c|c̈|c̦|〔|❲|¢|©️|ç|ć|ĉ|ċ|č|ƈ|ȼ|ɕ|ʗ|ϲ|с|с̡|ҫ|ௐ|ς|𝛓|𝜍|𝝇|𝞁|𝞻|ᑕ|ᑡ|ᑣ|ᙅ|ᴄ|ᶜ|ᶝ|ḉ|₠|₡|₢|₵|ℂ|℃|ℭ|ⅽ|↪️|⊂|⒞|ⓒ|☾|ⲥ|ⴀ|ⴚ|ꏸ|ꓚ|ꞓ|ꞔ|ꮯ|ꮸ|ｃ|￠|𝐂|𝐜|𝐶|𝑐|𝑪|𝒄|𝒞|𝒸|𝓒|𝓬|𝔠|𝕔|𝕮|𝖈|𝖢|𝖼|𝗖|𝗰|𝘊|𝘤|𝘾|𝙘|𝙲|𝚌|🄒|🄲|㈂|ᄃ|匚|⼕|匸|⼖|Ⓒ|🇨|🅒|🅲)(?:1|\!|\||i|i̇|j|l|l̃|£|ᒪ|ì|忄|⺖|í|î|ï|ĩ|ȷ|ᶡ|ᶨ|ʝ|ɟ|ʲ|ᴊ|ᴶ|ⱼ|j́|j́|ĵ|ĵ|ǰ|ǰ|ɉ|ɉ|j̃|j̇̃|ʄ|ī|ī̀|ĭ|į|į́|į̃|ı|ĳ|ĺ|ļ|ľ|ŀ|ł|ƚ|ǀ|ǁ|ǃ|ǉ|ǐ|ȉ|ȋ|ȴ|ɨ|ɩ|ɪ|ɫ|ɬ|ɭ|ɮ|ɺ|ʟ|˛|ˡ|˪|˻|ͺ|ΐ|ί|ι|λ|ϳ|і|ј|ӏ|յ|ו|וו|ן|װ|آ|أ|ل|١|ٴ|ٵ|۱|ߊ|า|ๅ|ᅡ|ᅣ|ᅤ|ᅧ|ᅵ|ᆘ|ᆙ|ᆝ|ᐧᒪ|ᒍ|ᒒ|ᒔ|ᒖ|ᒘ|ᒙ|ᒚ|ᒳ|ᒵ|ᒶ|ᒹ|ᛁ|ᛚ|ᴉ|ᴌ|ᴵ|ᴸ|ᵎ|ᵢ|ᵻ|ᶅ|ᶖ|ᶤ|ᶦ|ᶧ|ᶩ|ᶪ|ᶫ|ḭ|ḯ|ḷ|ḹ|ḻ|ḽ|ỉ|ị|ι|‖|‼|ₗ|₤|ℐ|ℑ|ℒ|ℓ|ℹ|⅂|ⅈ|ⅉ|ⅰ|ⅱ|ⅲ|ⅼ|↾|∣|∥|∫|∬|∭|⍳|⎜|⎟|⎢|⎥|⎪|⎮|⑴|⑾|⒈|⒑|⒒|⒤|⒧|ⓘ|ⓛ|│|┃|▌|▐|⨌|Ⲽ|⨡|ⱡ|ⲓ|ⳑ|ⵏ|⺃|⺉|⼁|ㅒ|ㅣ|㇑|㇟|丨|乚|刂|꒓|꓅|ꓙ|ꓡ|ꓲ|ꓶ|꜖|ꝇ|ꝉ|ꞁ|ꞎ|ꬷ|ꬸ|ꭝ|ꭞ|ꭵ|ꭻ|ꮭ|ꮮ|ꮷ|ힾ|ힿ|ퟀ|ﴼ|ﴽ|︱|ﺁ|ﺂ|ﺃ|ﺄ|ﺇ|ﺈ|ﻝ|ﻞ|ﻟ|ﻠ|！|ｉ|ｊ|ｌ|｜|ﺎ|￨|𐌉|𐌋|𐌹|𐤋|𝐈|𝐉|𝐋|𝐢|𝐣|𝐥|𝐼|𝐽|𝐿|𝑖|𝑗|𝑙|𝑰|𝑱|𝑳|𝒊|𝒋|𝒍|𝒥|𝒾|𝒿|𝓁|𝓘|𝓙|𝓛|𝓲|𝓳|𝓵|𝔍|𝔏|𝔦|𝔧|𝔩|𝕀|𝕁|𝕃|𝕚|𝕛|𝕝|𝕴|𝕵|𝕷|𝖎|𝖏|𝖑|𝖨|𝖩|𝖫|𝗂|𝗃|𝗅|𝗜|𝗝|𝗟|𝗶|𝗷|𝗹|𝘐|𝘑|𝘓|𝘪|𝘫|𝘭|𝙄|𝙅|𝙇|ﺍ|ا|اً|𝙞|𝙟|𝙡|𝙸|𝙹|🄙|𝙻|𝚒|𝚓|𝚕|𝚤|𝚥|𝚰|𝛊|𝛪|𝜄|𝜤|𝜾|𝝞|𝝸|𝞘|𝞲|𝟏|𝟙|𝟣|𝟭|𝟷|🄂|🄘|🄛|⒥|讠|⻈|🄸|🄹|🄻|Ⓘ|Ⓙ|Ⓛ|🇮|🇯|🇱|🅛|🅘|🅙|🅸|🅹|🅻))
e,(3|3|e|e̩|£|æ|è|è̩|é|é̩|ê|ê̄|ê̌|ë|ē|ĕ|ė|ė́|ė̃|ę|ę́|ę̃|ě|œ|ǝ|ȅ|ȇ|ȝ|ȩ|ɇ|ɘ|ə|ɚ|ɛ|ɜ|ɜ̦|ɞ|ʃ|ʒ|έ|ε|ξ|σ|ϵ|е|з|з̡|э|є|ҙ|ҽ̢|ҽ̨|ҿ|ә|ӡ|ԑ|յ|ع|६|ໂ|ᄐ|ᴇ|ᴈ|ᴔ|ᴱ|ᴲ|ᵉ|ᵋ|ᵌ|ᶒ|ᶓ|ḕ|ḗ|ḙ|ḛ|ḝ|ẹ|ẻ|ẽ|ế|ề|ể|ễ|ệ|₤|€|ℇ|℮|ℯ|ℰ|⅀|ᙓ|ⅇ|∃|∈|∑|⋴|⋿|⒊|⒠|ⓔ|ⱸ|ⱻ|ⲉ|ⳍ|ⴹ|ⵉ|⺒|㈋|巳|ꍟ|ꓰ|ꝫ|ꬲ|ꬳ|ꬴ|ꭼ|ﻉ ‎|ﻉ|ｅ|￡|𐌄|𐌴|𐤄|𝐄|𝐞|𝐸|𝑒|𝑬|𝒆|𝓔|𝓮|𝔈|𝔢|𝔼|𝕖|𝕰|𝖊|𝖤|𝖾|𝗘|𝗲|𝘌|𝘦|𝙀|𝙚|𝙴|𝚎|𝚬|𝚵|𝚺|𝛆|𝛏|𝛜|𝛦|𝛯|𝛴|𝜀|𝜉|𝜖|𝜠|𝜩|𝜮|𝜺|𝝃|𝝐|𝝚|𝝣|𝝨|𝝴|𝝽|𝞊|𝞔|𝞝|𝞢|𝞮|𝞷|𝟄|𝟑|𝟛|𝟥|𝟯|𝟹|🄄|🄔|🄴|㔾|⺋|Ⓔ|🇪|🅔|🅴)
f,(f|⒡|🄕|ﬀ|ﬃ|ﬄ|ﬁ|ﬂ|ʩ|f̦|ϝ|ⅎ|ꓞ|𝟋|f̡|ƒ|ᖴ|ꓝ|ℱ|𝐅|𝐹|𝑭|𝓕|𝔉|𝔽|𝕱|𝖥|𝗙|𝘍|𝙁|𝙵|𝟊|ẝ|ſ|ք|𝐟|𝑓|𝒇|𝒻|𝓯|𝔣|𝕗|𝖋|𝖿|𝗳|𝘧|𝙛|𝚏|𐌅|℉|₣|ḟ|ᵮ|ꬵ|ᶂ|ꞙ|ꝼ|ꟻ|ꜰ|🄵|Ⓕ|🇫|🅕|🅵)
g,(9|g|q|q̔|ĝ|ğ|ġ|ģ|ƍ|ǥ|ǧ|ǵ|ɠ|ɡ|ɢ|ʛ|ʠ|ԍ|ԛ|գ|զ|ց|৭|੧|୨|ᏻ|ᴳ|ᵍ|ᵷ|ᵹ|ᶃ|ᶢ|ḡ|₲|ℊ|ℚ|⒐|⒢|⒬|ⳋ|ꓖ|ꝯ|ꞡ|ꬶ|ꮐ|ｇ|𝐆|𝐐|𝐠|𝐪|𝐺|𝑄|𝑔|𝑞|𝑮|𝑸|𝒈|𝒒|𝒢|𝒬|𝓆|𝓖|𝓠|𝓰|𝓺|𝔊|𝔔|𝔤|𝔮|𝔾|𝕘|𝕢|𝕲|𝕼|𝖌|𝖖|𝖦|𝖰|𝗀|𝗊|𝗚|𝗤|𝗴|𝗾|𝘎|𝘘|𝘨|𝘲|𝙂|𝙌|𝙜|𝙦|𝙶|𝚀|𝚐|𝚚|𝟗|𝟡|𝟫|𝟵|𝟿|🄊|🄖|🄠|ɋ|q̃|ƣ|𐤒|𐌒|ꝗ|ꝙ|ᑴ|ϙ|🄶|Ⓖ|🇬|🅖|🅶)
i,(1|\!|\||i|i̇|j|l|l̃|£|ᒪ|ì|忄|⺖|í|î|ï|ĩ|ȷ|ᶡ|ᶨ|ʝ|ɟ|ʲ|ᴊ|ᴶ|ⱼ|j́|j́|ĵ|ĵ|ǰ|ǰ|ɉ|ɉ|j̃|j̇̃|ʄ|ī|ī̀|ĭ|į|į́|į̃|ı|ĳ|ĺ|ļ|ľ|ŀ|ł|ƚ|ǀ|ǁ|ǃ|ǉ|ǐ|ȉ|ȋ|ȴ|ɨ|ɩ|ɪ|ɫ|ɬ|ɭ|ɮ|ɺ|ʟ|˛|ˡ|˪|˻|ͺ|ΐ|ί|ι|λ|ϳ|і|ј|ӏ|յ|ו|וו|ן|װ|آ|أ|ل|١|ٴ|ٵ|۱|ߊ|า|ๅ|ᅡ|ᅣ|ᅤ|ᅧ|ᅵ|ᆘ|ᆙ|ᆝ|ᐧᒪ|ᒍ|ᒒ|ᒔ|ᒖ|ᒘ|ᒙ|ᒚ|ᒳ|ᒵ|ᒶ|ᒹ|ᛁ|ᛚ|ᴉ|ᴌ|ᴵ|ᴸ|ᵎ|ᵢ|ᵻ|ᶅ|ᶖ|ᶤ|ᶦ|ᶧ|ᶩ|ᶪ|ᶫ|ḭ|ḯ|ḷ|ḹ|ḻ|ḽ|ỉ|ị|ι|‖|‼|ₗ|₤|ℐ|ℑ|ℒ|ℓ|ℹ|⅂|ⅈ|ⅉ|ⅰ|ⅱ|ⅲ|ⅼ|↾|∣|∥|∫|∬|∭|⍳|⎜|⎟|⎢|⎥|⎪|⎮|⑴|⑾|⒈|⒑|⒒|⒤|⒧|ⓘ|ⓛ|│|┃|▌|▐|⨌|Ⲽ|⨡|ⱡ|ⲓ|ⳑ|ⵏ|⺃|⺉|⼁|ㅒ|ㅣ|㇑|㇟|丨|乚|刂|꒓|꓅|ꓙ|ꓡ|ꓲ|ꓶ|꜖|ꝇ|ꝉ|ꞁ|ꞎ|ꬷ|ꬸ|ꭝ|ꭞ|ꭵ|ꭻ|ꮭ|ꮮ|ꮷ|ힾ|ힿ|ퟀ|ﴼ|ﴽ|︱|ﺁ|ﺂ|ﺃ|ﺄ|ﺇ|ﺈ|ﻝ|ﻞ|ﻟ|ﻠ|！|ｉ|ｊ|ｌ|｜|ﺎ|￨|𐌉|𐌋|𐌹|𐤋|𝐈|𝐉|𝐋|𝐢|𝐣|𝐥|𝐼|𝐽|𝐿|𝑖|𝑗|𝑙|𝑰|𝑱|𝑳|𝒊|𝒋|𝒍|𝒥|𝒾|𝒿|𝓁|𝓘|𝓙|𝓛|𝓲|𝓳|𝓵|𝔍|𝔏|𝔦|𝔧|𝔩|𝕀|𝕁|𝕃|𝕚|𝕛|𝕝|𝕴|𝕵|𝕷|𝖎|𝖏|𝖑|𝖨|𝖩|𝖫|𝗂|𝗃|𝗅|𝗜|𝗝|𝗟|𝗶|𝗷|𝗹|𝘐|𝘑|𝘓|𝘪|𝘫|𝘭|𝙄|𝙅|𝙇|ﺍ|ا|اً|𝙞|𝙟|𝙡|𝙸|𝙹|🄙|𝙻|𝚒|𝚓|𝚕|𝚤|𝚥|𝚰|𝛊|𝛪|𝜄|𝜤|𝜾|𝝞|𝝸|𝞘|𝞲|𝟏|𝟙|𝟣|𝟭|𝟷|🄂|🄘|🄛|⒥|讠|⻈|🄸|🄹|🄻|Ⓘ|Ⓙ|Ⓛ|🇮|🇯|🇱|🅛|🅘|🅙|🅸|🅹|🅻|¡)
h,(h|h̔|h̦|h̩|h̵|ĥ|ħ|ƕ|ȟ|ɦ|ɧ|ʜ|ʰ|ʱ|η|н|н̡|н̩|ћ|ң|һ|һ̵|ӈ|ӊ|հ|ᏺ|ᕼ|ᴴ|ḣ|ḥ|ḧ|ḩ|ḫ|ẖ|ₕ|ℋ|ℌ|ℍ|ℎ|ℏ|ⱨ|ⲏ|ꓧ|ꜧ|ꞕ|ꟸ|ꮋ|ꮒ|ｈ|𐌷|𝐇|𝐡|𝐻|𝑯|𝒉|𝒽|𝓗|𝓱|𝔥|𝕙|𝕳|𝖍|𝖧|𝗁|𝗛|𝗵|𝘏|𝘩|𝙃|𝙝|𝙷|𝚑|𝚮|𝛨|𝜢|𝝜|𝞖|🄗|⒣|ឣ|អ|🄷|Ⓗ|🇭|🅗|🅷)
k,(k|k̔|k̩|k̵|ķ|ĸ|ƙ|ǩ|ʞ|κ|ϗ|ϰ|к|к̩|к̵|қ|ҟ|ᴋ|ᴷ|ᵏ|ᶄ|ḱ|ḳ|ḵ|ₖ|₭|⒦|ⱪ|ⲕ|ⳤ|ꓗ|ꝁ|ꝃ|ꝅ|ꞣ|ꮶ|ｋ|𝐊|𝐤|𝐾|𝑘|𝑲|𝒌|𝒦|𝓀|𝓚|𝓴|𝔎|𝔨|𝕂|𝕜|𝕶|𝖐|𝖪|𝗄|𝗞|𝗸|𝘒|𝘬|𝙆|𝙠|𝙺|𝚔|𝚱|𝛋|𝛞|𝛫|𝜅|𝜘|𝜥|𝜿|𝝒|𝝟|𝝹|𝞌|𝞙|𝞳|𝟆|🄚|🄺|Ⓚ|🇰|🅚|🅺)
